Srno,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
11530,Doodh Jhinge Curry Recipe-Ridge Gourd Cooked In Milk,"500 grams Ridge Gourd (Turai/ Peerkangai) - peeled & finely chopped,200 ml Milk,2 inch Ginger - grated,4 Green Chillies - slit,2 Dry Red Chillies,1 teaspoon Mustard seeds,2 teaspoons Mustard oil,1 teaspoon Ghee,2 teaspoon Sugar,Salt - to taste",10,20,30,2,Indian,Side Dish,Vegetarian,"To begin making Doodh Jhinge Curry Recipe (Ridge Gourd Cooked In Milk), peel the ridge gourds, cut into half, and then chop well.In a kadai, heat oil, once the oil is hot, add mustard seeds and allow them to crackle.Immediately add the whole dry red chillies and saute for a few more seconds.Add in the chopped ridge gourd. Mix well to combine.Now add sugar and mix - this helps in retaining the color of the vegetable.Add salt and ginger paste. Saute for a minute and cover and cook on a medium heat till the vegetable is cooked and the moisture is all dried up. You can stirÿ the vegetables a couple of times to help it cook evenly.Meanwhile, add a pinch of besan to the bowl of milk and stir well. This helps in keeping the milk from curdling.Once the ridge gourd is cooked, add green chillies to the kadai and slowly add milk. stir well to combine and bring theÿDoodh Jhinge Curry to a brisk boil.Reduce the flame and continue to cook for about 5-7 minutes to allow the curry to thicken to the desired consistency. Check that the sugar and salt and adjust to suit your taste, add a dollop of ghee and turn off the heat.TransferÿDoodh Jhinge Curry to a bowl and serve.Serve Doodh Jhinge Curry Recipe (Ridge Gourd Cooked In Milk) with Gehun Bhajra Thepla Recipe or Phulkas along with Dry Chole Recipe (Dry Masala Chickpeas) for dinner or pack away for lunch box.",http://www.archanaskitchen.com/doodh-jhinge-curry-recipe-ridge-gourd-cooked-in-milk
11531,Amla Chutney Recipe - Hot and Sweet Amla Chutney Recipe,"100 grams of amla, 1 teaspoon cumin, 1 teaspoon mustard, 1 sprig curry leaves, asafetida - a pinch, 1/4 cup jaggery, 2 teaspoons red chili powder - or as desired, salt - oil, according to taste",10,45,55,4,North Indian Recipes,Side Dish,Vegetarian,"To make the pungent and sweet amla chutney, first of all, pour the amla in the pressure cooker with a little water and cook till 3 whistles. After the pressure comes out, open the cooker and take out the seeds from the amla. Add the amla to the mixer grinder. Pour it with water and grind it. Now heat oil in a pan. Add cumin seeds, mustard seeds, asafoetida and let it cook for 10 seconds. After 10 seconds, add red chili powder, amla paste and mix it. Add jaggery, salt and cook for 2 to 3 minutes. Serve. Serve the pungent and sweet amla chutney with garlic dish, aloo bhindi vegetable and phulka as a side dish.",http://www.archanaskitchen.com/sweet-spicy-amla-chutney-recipe-in-hindi
11532,Arab Dahi Wali Sabz rode,"250 grams Colocasia root (Arbi),1 cup Curd (Dahi / Yogurt),1/2 teaspoon Ajwain (Carom seeds),1 1/2 teaspoon Kashmiri Red Chilli Powder,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoon Coriander (Dhania) Leaves - chopped,Salt - to taste,Sunflower Oil - to cook,1 cup Water - adjustable",15,25,40,4,North Indian Recipes,Lunch,Vegetarian,"To start preparing Arbi Dahi Wali Sabzi, scrub arbi to get rid of mud and dirt. Wash it twice at least. Pressure cook arbi with little water and a pinch of salt for 1 whistle (do not overcook). Arbi has to be cooked, but firm.Peel the skin off and cut them into half, lengthwise.Whisk yogurt or dahi well, keep aside.Heat oil in a pan. Add ajwain and saut‚ for 10 seconds.Add red chili powder, turmeric powder, coriander powder and give it a mix.Add arbi and cook in oil and spices for about 10 to 12 minutes on medium flame with constant stirring.Add 1/2 cup water and bring it to boil. Let it boil for 5 to 7 minutes.Add the whisked curd and with constant stirring, cook until the gravy just begins to come to a boil.Add garam masala powder, chopped coriander leaves, stir well and turn off flame.ServeÿArbi Dahi Wali Sabzi along withÿPudina Tawa Paratha,ÿMixed Sprouts Sabzi RecipeÿandÿKachumber Saladÿfor a perfect meal.",http://www.archanaskitchen.com/arbi-dahi-wali-sabzi-recipe
11542,Serial recipe of radish leaves - South Indian Style Radish Greens Stir Fry (Recipe in Hindi),"12 small onions - chopped, 1 tomato - finely chopped, 1 cup radish leaves - finely chopped, 1/8 teaspoon turmeric powder, salt - as per taste, 1/4 cup tur dal - hot water for 10 minutes Soak in, 2 teaspoons coconut - tighten, 1 dry red chilli, 1 teaspoon sesame oil, 1/2 teaspoon cumin seeds, 1/2 inch ginger - tighten, asafetida - a pinch, 1 sprig curry leaves",10,20,30,4,South Indian Recipes,Lunch,Vegetarian,"To make the porridge of radish leaves, first prepare the sari material. Grind the ingredients given for grinding in a mixer grinder. Now heat the oil in a pan and add the ingredients for tempering. After tempering, add small onions, tomatoes, turmeric powder, salt and cook till the tamar becomes soft. Now add the ground spices and sprinkle some water. Cook on low heat for 3 to 4 minutes. Now add radish leaves, mix and cook for next 5 minutes. Serve after 5 minutes. Serve the poriyal of the radish leaves with beetroot sambar, rice and papad for dinner.",https://www.archanaskitchen.com/south-indian-style-radish-greens-stir-fry-recipe-in-hindi
11551,Vegetarian Hakka Noodles -Chinese Chow Mein Recipe,"1 Veg Hakka Noodles - packet,2 Onions - thinly sliced,1 inch Ginger - finely chopped,1 Carrots (Gajjar) - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,1 cup Cabbage (Patta Gobi/ Muttaikose) - thinly sliced,1/2 cup Green beans (French Beans) - thinly sliced,4 sprig Spring Onion (Bulb & Greens) - chopped,1/2 teaspoon Black pepper powder,1/2 teaspoon Soy sauce,1 teaspoon Red Chilli sauce,1/2 teaspoon Chilli vinegar,Salt - to taste,1 tablespoon Sunflower Oil",20,30,50,4,Cantonese,Main Course,Vegetarian,"To begin making the Vegetarian Hakka Noodles Recipe, first cook the noodles according the instructions in the package.Cool the noodles immediately by running it under cold water. This stops the cooking process and prevents the noodles from getting too soft and soggy. Add a tablespoon of oil to the cooled noodles to prevent sticking and keep aside.Now we will heat oil in a large frying pan on high heat and once the oil is hot add sliced onions and ginger and saute until the onions have softened.Once done add the capsicum, carrots, beans, cabbage,ÿ spring onions, salt to taste and pepper powder and saut‚ on high until it has a cooked and crisp texture.Stirring on high heat cooks the vegetables faster and also helps it retain color and a subtle crispness.You can even cover the vegetables and cook the vegetables for three minutes.Once the vegetables are cooked yet firm stir in the soy sauce, chilli sauce, and chilli vinegar and stir fry for two minutes.ÿOnce done stir in the cooked noodles and mix well to combine.Turn off the heat and transferÿVegetarian Hakka Noodles to a serving bowl.Serve the Vegetarian Hakka Noodles as a meal of its own or along withÿGobi ManchurianÿorÿÿIndo Chinese Mixed Vegetable Recipe In Szechuan sauce.
",https://www.archanaskitchen.com/vegetarian-hakka-noodles-chowmein-recipe
11562,Sweet Potato Mash Recipe,"4 Sweet Potatoes - skin peeled and chopped small,500 ml Milk,100 grams Butter,5 cloves Garlic - sliced,Salt and Pepper - to taste",5,15,20,4,Continental,Side Dish,Vegetarian,"To begin making the Sweet Potato Mash Recipe, add the chopped sweet potato, milk, garlic and butter into a sauce pan and leave it to boil.Boil until the potatoes have become soft and fluffy. Using a potato masher, mash all the potatoes and add little salt and mix well.You can also pass the mashed potatoes into a sieve to get a smooth consistency. Before serving sprinkle some pepper and serve.Serve the Sweet Potato Mash Recipe along withÿOven Baked Chickenÿwith a fresh salad likeÿChickpea Orange Salad Recipe with Sun Dried Tomatoesÿby the side.ÿ
",https://www.archanaskitchen.com/sweet-potato-mash-recipe
11566,Buy Manga Soya Sundal Recipe,"1/2 cup Soybeans (Whole Soya dal) - soaked overnight,1 Mango (Raw) - skin peeled & finely chopped,1 tablespoon Fresh coconut,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,Curry leaves - a few,Salt - to taste,1 teaspoon Coconut Oil,1 Asafoetida (hing) - a generous pinch,1/3 teaspoon Mustard seeds",10,35,45,4,South Indian Recipes,Side Dish,High Protein Vegetarian,"To prepare Thenga Manga Soya Sundal - Navratri Special Recipe, pressure cook soaked soybeans for 5 whistles until it is cooked well. Strain the water completely.Take a Pan, heat a teaspoon of coconut oil in it and add hing. Immediately add mustard seeds, allow to splutter.Immediately add cooked and strained soybeans and raw mango.Add chili powder, salt, curry leaves, and cook for 1-2 minutes.Lastly, add coconut and immediately switch off.Serve Thenga Maanga Soya Sundal recipe during evening or withÿpuliyogare recipeÿorÿbroken wheat upmaÿandÿAkhrot ka sheera recipeÿto make it a complete meal.",https://www.archanaskitchen.com/thenga-manga-soya-sundal-recipe
11579,Kaya Tholi Thoran Recipe - Raw Banana Thoran (Recipe In Hindi),"2 raw banana peel, 1/4 teaspoon turmeric powder, 2 cups water, salt, 1/2 cup coconut - grated, 3 cloves garlic, 1/2 teaspoon cumin, 4 green chillies, 4 small onions, salt, 1 tablespoon oil, 1/4 teaspoon mustard, 2 dry red chillies, 8 curry leaves",10,30,40,2,Kerala Recipes,Lunch,Vegetarian,"To make Kaya Tholi Thoran, first take out the peel of raw banana and cut it into small pieces. Pour it in a saucepan with turmeric powder and 2 cups of water and cook till it becomes soft. Now put the grinding ingredients in a mixer grinder and grind it. Heat oil in a small pan. Add mustard seeds and cook for 10 seconds. Add curry leaves, dry red chillies and cook for 10 seconds. Now add ground spices and cook for 2 to 3 minutes. After 3 minutes add raw banana and mix it. Cook and serve for 1 to 2 minutes. Serve Kaya Tholi Thoran with kirai sambar and rice for dinner.",https://www.archanaskitchen.com/kaya-tholi-thoran-recipe-raw-banana-thoran-in-hindi
11582,Kerala Cheriya Ulli Sambar Recipe,"1/2 cup Arhar dal (Split Toor Dal) - soaked for 15 minutes,1/4 teaspoon Turmeric powder (Haldi),1 cup Tamarind Water,12 Shallots - peeled & quartered,2 Tomatoes - quartered,1 tablespoon Sambar Powder,1/4 cup Fresh coconut,3 Green Chillies,Salt - to taste,1/2 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),1 tablespoon Fresh coconut - grated,1/4 teaspoon Asafoetida (hing),5 Curry leaves,3 Dry Red Chilli,2 tablespoon Coconut Oil",10,30,40,2,Karnataka,Lunch,High Protein Vegetarian,"To start making Kerala Cheriya Ulli Sambar, in a pressure cooker add dal with a cup of water and turmeric powder. Pressure cook the dal for a couple of whistles. After a couple of whistles, turn the heat to low and simmer for 2 to 3 minutes and turn off the heat. Allow the pressure to release naturally.ÿOnce the pressure is released, open the cooker and mash the dal with a potato masher or whisk the dal to make it lightly smooth.ÿNext in a small pan over medium heat, roast the coconut for a few minutes and grind it into a smooth paste. Keep aside.In a saute pan add a tablespoon of coconut oil and add shallots/small onions with a little salt, curry leaves, green chili and saute until translucent and slightly brown. Add the tomatoes, turmeric powder, sambar powder,salt and tamarind water to the onion mixture and bring this sambar mixture to a boil Turn the heat to low and simmer the ulli sambar mixture for about 3 to 4 minutes.After ÿfew minutes, add the whisked dal and the coconut paste and give it a stir. Bring the mixture to a simmering boil for another 3 to 4 minutes. Check the salt and spice levels and adjust to suit your taste.Transfer the Ulli Sambar to a serving bowl. The final step is to make the seasoning. In a small tadka pan, heat ÿa teaspoon of coconut oil. Add the mustard seeds and allow it to crackle. Add the remaining ingredients and roast for about a minute until the aromas come through.Pour the seasoning to the Ulli Sambar, add the chopped coriander leaves and give the sambar a stir.Serve theÿKerala Cheriya Ulli Sambar along with hot steamed rice, topped with ghee and a vegetable like Kerala Vendakkai Thoran.",http://www.archanaskitchen.com/kerala-cheriya-ulli-sambar-recipe
11588,Aoria Special Dalma Recipe (Aoria Dal & Tarkari),"1 cup Arhar dal (Split Toor Dal),1/2 cup Elephant yam (Suran/Senai/Ratalu) - cut into small dices,1/2 cup Kaddu (Parangikai/ Pumpkin) - cut into small dices,1/2 cup Brinjal (Baingan / Eggplant) - teaspooncut into small dices,1/2 cup Raw Banana - teaspooncut into small dices,1/4 cup Carrot (Gajjar) - teaspooncut into small dices,1/4 cup Mooli/ Mullangi (Radish) - teaspooncut into small dices,1 teaspoon Cinnamon Powder (Dalchini),1 teaspoon Red Chilli powder,1 teaspoon Panch Phoran Masala,1 teaspoon Turmeric powder (Haldi),1 pinch Sugar,Salt - per taste,Sunflower Oil - for cooking,1 tablespoon Ghee,2 Dry Red Chillies,2 teaspoon Fennel seeds (Saunf),1 tablespoon Fresh coconut - grated,1 Coriander (Dhania) Leaves - chopped,Coriander (Dhania) Leaves - chopped",20,50,70,4,Oriya Recipes,Lunch,Vegetarian,"To begin making the Oriya Special Dalma Recipe (Oriya Dal & Tarkari), soak the toor dal for 4-5 hours in water.Wash the vegetables and cut all in medium pieces of equal sizes.Add the soaked dal, 3 cups of water, the cut vegetables along with salt and turmeric into the pressure cooker and cook until you hear a couple of whistles. After a couple of whistles, turn the heat to low for a couple of more minutes and then turn off the heat.Allow the pressure to release naturally from the cooker. Once released, open the cooker, add the red chili powder, cinnamon powder, salt, panch phoran and a pinch of sugar. Stir well and adjust the spices to suit your taste.Bring the dal to a light simmer while we proceed to make the tadka (seasoning)Heat ghee in a small tadka pan; add the red chili and fennel seeds and allow them to roast. Once roasted, turn off the heat. Pour the seasoning into the simmering Oriya dalma and stir.Finally stir in the coriander leaves and turn off the heat. Cover the Dalma with a lid and let it rest for 5 minutes till the flavor infuses properly.ÿGarnish with shredded coconut and chopped coriander leaves and serve.Serve the Oriya Special Dalma Recipe along with ÿbowl of steamed rice, topped with ghee for a one dish weeknight dinner or simply a wholesome lunch.",http://www.archanaskitchen.com/oriya-special-dalma-recipe-oriya-dal-tarkari
11592,Fenugreek Vegetable Lu Vegetable Recipe - Sweet Own & Fangrik Layaves Vegetable,"2 Sweet Potato - skin peeled,1 cup Methi Leaves (Fenugreek Leaves) - chopped,1 teaspoon Cumin seeds (Jeera),1 Green Chilli - slit,1 teaspoon Coriander Powder (Dhania),1 teaspoon Black pepper powder,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste",10,30,40,4,North Indian Recipes,Side Dish,Vegetarian,"To begin making the Sweet Potato & Fenugreek Leaves Sabzi Recipe, we will heat a kadai with oil, add cumin seeds and allow it to splutter for few seconds.Add sweet potato, green chilli and sprinkle with salt and allow it to cook covered till it is done. Keep tossing it at regular intervals.Add fenugreek leaves, coriander powder, turmeric powder, black pepper powder and salt to taste. Combine well. Sprinkle little water to the Sweet Potato & Fenugreek Leaves Sabzi and cook covered for 10 more minutes and serve hot.ÿServe the Sweet Potato & Fenugreek Leaves Sabzi Recipe along withÿPhulkaÿandÿGujarati Dalÿto make a complete meal.",http://www.archanaskitchen.com/sweet-potato-fenugreek-leaves-subzi-recipe
11597,Sauteed Spinach With Garlic And Cheese Recipe,"2 cups Spinach Leaves (Palak),4 cloves Garlic - finely sliced,4 tablespoons Parmesan cheese - grated,1/4 teaspoon Black pepper powder,1/8 teaspoon Cinnamon Powder (Dalchini),1 teaspoon Extra Virgin Olive Oil,Salt - to taste (only if required)",5,10,15,2,European,Appetizer,Vegetarian,"To begin making Sauteed Spinach With Garlic and Cheese Recipe, heat olive oil in a pan add in the garlic slices on a low-medium heat and saute until they turn golden brown.Add the spinach leaves and saute for about 2 minutes or until the leaves shrink and are tender. Also let the water from the spinach dry out a bit.You can take out the spinach from the pan and add the parmesan later, once done with the recipe as well.Once done, add in the grated parmesan cheese, pepper powder, cinnamon powder and season with the right amount of salt. Keep in mind that parmesan cheese also is salted, hence add salt only if required.Give it a nice stir and switch off heat, add the reserved spinach on it once you serve the dish in a bowl.Serve the Sauteed Spinach With Garlic and Cheese Recipe with Creamy Mushroom Risotto Recipe and Garlic Bread With Herb Butter Recipe for a hearty warm weeknight dinner.",http://www.archanaskitchen.com/sauteed-spinach-with-garlic-and-cheese-recipe
11599,Egg Hakka Noodles Recipe,"1 Veg Hakka Noodles,1/2 cup Spring Onion (Bulb & Greens) - chopped,1 Carrot (Gajjar) - peeled and julienned,1/2 Green Bell Pepper (Capsicum) - julienned,1/2 cup Broccoli - chopped into small florets,5 Button mushrooms - chopped,1/2 tablespoon Soy sauce,1 tablespoon Green Chilli Sauce,6 cloves Garlic - finely chopped,1 tablespoon Black pepper powder,1 tablespoon Spring Onion Greens - chopped for garnish,Salt - to taste,2 Whole Eggs,1/2 teaspoon Black pepper powder,Salt - as required",25,30,55,4,Chinese,Main Course,Eggetarian,"To begin making the Egg Hakka Noodles first, boil 5-6 cups of water and add Hakka Noodles to the water when the water starts to boil.Add 1 teaspoon oil and some salt to the noodles while boiling. Boil and cook the noodles according to the instructions given on the pack.Once the noodles is cooked using a strainer, drain the water. Pass running water through the noodles to stop overcooking the noodles. Toss it with some oil to prevent sticking and keep aside.Now for the scrambled eggs, crack and open 2 eggs one by one and add them to a mixing bowl. Add black pepper and salt and beat them well.In a wok, add oil and once the oil is hot add the egg mixture and spread it around by moving the wok in a circular direction.Cook it for 2 minutes and then scramble it till it is cooked properly. Remove to a plate and keep it aside.In the same Kadai/wok, add 2 tablespoon oil and when it gets heated add finely chopped garlic.Saute the garlic for few seconds and add the chopped spring onions,ÿcapsicum, broccoli, and carrot saute them till cooked.After the vegetables are cooked add mushrooms and mix well. Cook the mushrooms and let the water evaporate from the mushrooms.ÿOnce done add soya sauce and chili sauce and give it a toss, now add black pepper powder and mix well.Add the boiled noodles. salt to taste and toss well to combine.Finally, add the scrambled eggs to the Hakka Noodles and give it a stir. Turn off the heat.Transfer Egg Hakka Noodles to a serving plate.Garnish with spring onion greens and serve them hot.Serve Egg Hakka Noodle Recipe withÿVegetable Manchurian Balls In Hot And Spice Garlic Sauceÿfor a complete meal.",https://www.archanaskitchen.com/hakka-noodles-with-egg-recipe
11608,Goan Style Recheado Bangdo Recipe | Stuffed Mackerel,"6 Mackerel fish - cleaned and slit,1/2 Cup Goan recheado masala,1 Cup Sooji (Semolina/ Rava),Extra Virgin Olive Oil - to shallow fry,Salt - to taste",60,15,75,6,Goan Recipes,Main Course,High Protein Non Vegetarian,"To begin making Goan Style Recheado Bangdo Recipe | Stuffed Mackerel, remove the head and tail of the mackerels.Slit them in the center all the way from head to tail.ÿIf possible, remove the bone or else leave it on.ÿWash them well for 3-4 times.Apply salt and keep them for 5 minutes.Now stuff in Recheado paste properly inside the Mackerels.Rub a little of the spice paste on the outside of the fish too, on both the sides of the Mackerels.Let them marinade for at least an hour. You can keep them refrigerated overnight to get even more delicious recipe when done.Coat them with semolina on both the sides.Heat a skillet, add a tablespoon of oil.Place these mackerels on top of the oil and let them cook on medium high heat for about 5 minutes.Flip and let them cook on the other side too, till done.Remove when they look all crispy brown on both the sides.ServeÿGoan Style Recheado Bangdo Recipe | Stuffed Mackerel as a complete meal when paired along withÿSteamed Rice,ÿMoryechi Xacuti Recipe (Goan Style Shark Curry)ÿor aÿGoan Mackerel Curry (Bangdyache Hooman) Recipeÿand enjoy!",http://www.archanaskitchen.com/goan-style-recheado-bangdo-recipe-stuffed-mackerel
11612,Idichakka Thoran Recipe (Young Jack Fruit With Spiced Coconut),"1 Jackfruit Raw (Kathal) - with skin shaved off,1 teaspoon Turmeric powder (Haldi),1/2 cup Fresh coconut - grated,3 Dry Red Chillies,1 Onion - finely chopped,2 Green Chillies - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 sprig Curry leaves,1/2 teaspoon Asafoetida (hing),Salt - to taste",15,45,60,4,Kerala Recipes,Lunch,Vegetarian,"To begin making the Idichakka Thoran Recipe (Young Jack Fruit With Spiced Coconut), we will first shave off the skin of the Idichakka (Jackfruit). To do that, apply oil in your knife and palms. Using the oiled knife scrape the skin off the Jackfruit.Next step is to cut the Idichakka (Jackfruit), into half and remove the middle portion of the fruit from both the halves. Oil and grease your hands and knife once again and cut theÿIdichakka (Jackfruit) into chunks.We will now cook theÿIdichakka (Jackfruit) until it is soft and tender. I like using the pressure cooker to cook the jackfruit. Grease the pressure cooker with oil on all sides. Place theÿIdichakka (Jackfruit), along with salt and a teaspoon of turmeric powder. Add 1/4 cup of water and cover the pressure cooker with its weight on. Allow it to cook under pressure until you hear two whistles. After couple of whistles, turn off the heat. Allow the pressure to release naturally, as theÿIdichakka (Jackfruit) will continue to cook under the pressure.ÿOnce the pressure is released, open the pressure cooker. Using a fork or the back of the knife mash theÿIdichakka (Jackfruit) into crumbled. You will notice it splitting into think lengthy strips like shredded cabbage. That's the texture we are looking to get. Keep the crumbledÿIdichakka (Jackfruit) aside.In our next step, grind the coconut and red chillies, adding water little at a time to make a coarse paste. Keep this aside.In our final step; heat a tablespoon of oil in a work or a kadai; add the mustard seeds, cumin seeds and halved urad dal. Allow them to crackle and roast well. Next add the onion, green chillies and saute until the onions are tender. Finally add the curry leaves, asafoetida powder, coconut mixture and the cookedÿIdichakka (Jackfruit). Stir well until all the ingredients are well combined. Check the salt and spice levels and adjust to suit your taste. Cover the pan, and allow theÿIdichakka (Jackfruit) Thoran to simmer and absorb the flavors. Turn off the heat.ServeÿIdichakka Thoran Recipe along withÿMixed Vegetable Sambarÿand Steamed Rice for a weeknight dinner.ÿÿ",https://www.archanaskitchen.com/idichakka-thoran-recipe-young-jack-fruit-with-spiced-coconut
11616,Kala Chana Mithaas Liye Recipe (Chickpeas & Lotus seed In Date Curry),"1 cup Kala Chana (Brown Chickpeas) - soaked for overnight,1/2 cup Phool Makhana (Lotus Seeds),8 Dates - pitted,1 teaspoon Raisins,1/2 cup Fresh cream,1 Bay leaf (tej patta),1 inch Cinnamon Stick (Dalchini),2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Fennel seeds (Saunf),1/4 teaspoon Turmeric powder (Haldi),Salt - to taste",5,20,25,4,Himachal,Lunch,Vegetarian,"To begin making the Kala Chana Mithaas Liye Recipe (Chickpeas & Lotus seed in Date Curry), soak the kala channa in water for overnight.Pressure cook the kala chana with bay leaf and water for about 4 whistle.Heat a kadai with oil, add cloves, cinnamon stick, and fry them for about 10 seconds.Add cooked kala chana along with spice powders and cook till the raw smell goes away.Add the pitted dates and cream and bring it to a boil. Check for salt and adjust accordingly.Before serving add the lotus seeds and serve.Serve the Kala Chana Mithaas Liye Recipe along withÿBengali Luchiÿorÿphulkaÿwithÿsubziÿby the side to enjoy your everyday lunch.",https://www.archanaskitchen.com/kala-chana-mithaas-liye-recipe-chickpeas-lotus-seed-in-date-curry
11620,Dry fenugreek cream only recipe,"300 grams Methi Leaves (Fenugreek Leaves) - finely chopped,1/2 cup Green peas (Matar),2 tablespoon Fresh cream,1-1/2 tablespoon Sunflower Oil,1 Bay leaf (tej patta),1/2 Cinnamon Stick (Dalchini),1/2 teaspoon Cumin seeds (Jeera),1/2 cup Onion - finely chopped,1 tablespoon Garlic - finely chopped,1/4 teaspoon Ginger - paste,2 Green Chillies - chopped,1/2 cup Tomatoes - finely chopped,1 tablespoon Tomato Ketchup,1/4 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,Salt - to taste",10,30,40,4,North Indian Recipes,Dinner,Vegetarian,"To begin with Dry Methi Malai Matar, firstly wash fresh methi twice with clean water and chop these washed leaves finely.Peel fresh peas or use frozen green peas and boil them.Heat a pan and add 1 teaspoon of oil and put the chopped Methi leaves, and saute them until all the water gets steamed up and methi becomes dry. Take out from the pan and transfer it to the bowl.Add oil in the same pan with bay leaf, cinnamon stick and cumin seeds. After 30 seconds add finely chopped garlic, onion and chopped green chilies. Let it cook till the onions turn light brown and soft.Once it is done, add tomatoes and let them saute for about 2 minutes.Add all the spices mentioned in the ingredients and cook it for few seconds more.After few seconds, add fresh cream/malai and let it cook for a minute or two.After a minute or two, add sauted and dried methi and boiled green peas in it, then stir it for a few seconds.Add tomato ketchup into it and mix everything properly. Cover it with a lid and cook for another 5 minutes. After 5 minutes switch off the gas and your dish is ready.Serve Dry Methi Malai Matar with Besan & Atta Ki Roti, Missi Roti or Whole Wheat Palak Naan.",https://www.archanaskitchen.com/dry-methi-malai-matar-recipe
11624,Goan Moolyacho Ross Recipe (Goan Radish Curry),"2 Mooli/ Mullangi (Radish) - peeled,1/2 cup Arhar dal (Split Toor Dal),1/2 Onion - finely chopped,6 tablespoons Fresh coconut - grated,1 Green Chilli - slit,4 Dry Red Chillies,1 teaspoon Coriander (Dhania) Seeds,Tamarind - lemon sized,1/2 teaspoon Jaggery - grated,Salt - to taste",20,30,50,4,Goan Recipes,Lunch,Vegetarian,"To begin making the Goan Moolyacho Ross recipe, cut the peeled radish into 1 and 1/2 inch long finger shaped pieces.Add dal, radish and chopped onion along with 1 cup water in pressure cooker and pressure cook till 4 whistles.Grind grated coconut, dry red chilies, coriander seeds, tamarind and turmeric powder by adding 1/2 cup water into a thin gravy using a blender.Mix the coconut gravy with the dal inÿpressure cooker. Add grated jaggery and mix well.Simmer the gravy for 10 minutes. Add salt to taste, mix and serve hot.ÿServe Goan Moolyacho Ross along with Steamed Rice andÿCauliflower Thoranÿfor a perfect weekday meal.",https://www.archanaskitchen.com/goan-moolyacho-ross-recipe-goan-radish-curry
11626,Cauliflower And Methi Paratha Recipe,"1 cup Whole Wheat Flour,2 teaspoon Sunflower Oil,1/2 cup Water,1/4 teaspoon Salt,2 cups Cauliflower (gobi) - grated/finely chopped,1/2 Onion - finely chopped,1 cup Methi Leaves (Fenugreek Leaves) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,5 Garlic,1 Green Chilli - finely chopped,1 teaspoon Cumin seeds (Jeera),1 tablespoon Sunflower Oil,Salt - to taste,Ghee - for smearing",20,40,60,4,Indian,Indian Breakfast,Vegetarian,"To begin with Cauliflower And Methi Paratha Recipe, firstly heat oil in a kadhai. When the oil gets heated, add cumin seeds.Once the cumin seeds starts crackling, add finely chopped onion and fry till onion turns pinkish and soft.Add finely chopped garlic and green chilies and stir till the raw smell of garlic goes away.Once it is done, add grated cauliflower and let it cook for another 10 minutes.Now add the finely chopped methi leaves and stir till the methi leaves are cooked.Add turmeric and red chili powder and stir.Finally, add salt according to your taste, mix and switch off the gas. Let the stuffing cool down.While the stuffing cools down, make the dough for the parathas. Add salt and oil to wheat flour and mix.Mould it into a soft yet firm dough by adding water little at a time. Cover the dough with muslin cloth for 30 minutes.Make small balls from the dough of equal size. The size should be a little bigger than the table tennis ball.Roll the dough ball into a little bit of dry wheat flour and roll it into small thick flat round shape.Place 2 tablespoon of the stuffing on it and close from all sides. Dust it in dry whole wheat flour and roll it into bigger round shapes, just like a chapati.If you see any air bubbles while rolling, simply pat it gently with your fingertips.Then apply 1 teaspoon ghee on the frying pan and place the paratha on it.After 2-3 minutes, apply 1 teaspoon ghee on the upper side and turn. Let it cook for 2-3 minutes more.Serve Cauliflower And Methi Paratha Recipe with Dhaniya Pudina Chutney and Pumpkin Raita.
",https://www.archanaskitchen.com/cauliflower-and-methi-paratha-recipe
